NAME	PRICE	DURATION
Креативное окрашивание	от 400	30 минут
Креативные элементы (косички, плетение)	600	30 минут
Блеск-тату	от 400	
Выстригание узоров на шерсти	от 100	10 минут
Наклеивание страз	50	1 шт
Окрашивание коготков		
малые породы	200	15 минут
средние породы	300	15 минут
крупные породы	400	15 минут
