BREED	PRICE	DURATION
Бишон фризе	1 400	1-1,5
Вест хайленд уайт терьер	1 500	2
Йоркширский терьер	1 200	40 минут - 1
Китайская хохлатая голая	1 400	1,5-2
Китайская хохлатая пуховка	1 400	1,5-2
Мальтийская болонка	1 400	1-1,5
Пекинес	1 400	1-1,5
Цвергшнауцер	1 500	1.5
Ши-тцу	1 400	1-1,5
Шпиц померанский	1 300	1-1,5
Шпиц малый	1 500	1-1,5
Шпиц средний	1 700	1-1,5
Мелкие породы	700 - 1 000	1
Средние породы	800 - 1 000	1
Крупные породы	1 000/час	1
