NAME	PRICE	DURATION
Стрижка "Лев"	1 700	1 час
Стрижка, купание, когти, уши	2 500	1,5-2 часа
Вычесывание	1 000	в час
Стрижка когтей	200	10 минут
Чистка ушей	200	10 минут
Агрессивность	30% к стоимости	
